baseline,trial_id,case_id,latency_ms,tool_calls
B2,b2_data_0022,sample_missing_text,0.031,1
B2,b2_data_0023,sample_mouth_bitter,0.062,0
B3,b3_data_0000,sample_clear_fever,0.043,0
B3,b3_data_0001,sample_blur_fever,0.069,1
B3,b3_data_0002,sample_cold_pale,0.041,0
B3,b3_data_0003,sample_cold_yellow_conflict,0.036,1
B3,b3_data_0004,sample_missing_text,0.031,1
B3,b3_data_0005,sample_mouth_bitter,0.04,0
B3,b3_data_0006,sample_clear_fever,0.04,0
B3,b3_data_0007,sample_blur_fever,0.069,1
B3,b3_data_0008,sample_cold_pale,0.043,0
B3,b3_data_0009,sample_cold_yellow_conflict,0.035,1
B3,b3_data_0010,sample_missing_text,0.038,1
B3,b3_data_0011,sample_mouth_bitter,0.037,0
B3,b3_data_0012,sample_clear_fever,0.041,0
B3,b3_data_0013,sample_blur_fever,0.063,1
B3,b3_data_0014,sample_cold_pale,0.059,0
B3,b3_data_0015,sample_cold_yellow_conflict,0.035,1
B3,b3_data_0016,sample_missing_text,0.036,1
B3,b3_data_0017,sample_mouth_bitter,0.038,0
B3,b3_data_0018,sample_clear_fever,0.044,0
B3,b3_data_0019,sample_blur_fever,0.066,1
B3,b3_data_0020,sample_cold_pale,0.041,0
B3,b3_data_0021,sample_cold_yellow_conflict,0.032,1
B3,b3_data_0022,sample_missing_text,0.059,1
B3,b3_data_0023,sample_mouth_bitter,0.038,0
B4,b4_data_0000,sample_clear_fever,0.039,0
B4,b4_data_0001,sample_blur_fever,0.079,1
B4,b4_data_0002,sample_cold_pale,0.039,0
B4,b4_data_0003,sample_cold_yellow_conflict,0.035,1
B4,b4_data_0004,sample_missing_text,0.05,1
B4,b4_data_0005,sample_mouth_bitter,0.042,0
B4,b4_data_0006,sample_clear_fever,0.051,0
B4,b4_data_0007,sample_blur_fever,0.07,1
B4,b4_data_0008,sample_cold_pale,0.061,0
B4,b4_data_0009,sample_cold_yellow_conflict,0.036,1
B4,b4_data_0010,sample_missing_text,0.033,1
B4,b4_data_0011,sample_mouth_bitter,0.043,0
B4,b4_data_0012,sample_clear_fever,0.042,0
B4,b4_data_0013,sample_blur_fever,0.074,1
B4,b4_data_0014,sample_cold_pale,0.041,0
B4,b4_data_0015,sample_cold_yellow_conflict,0.034,1
B4,b4_data_0016,sample_missing_text,0.034,1
B4,b4_data_0017,sample_mouth_bitter,0.042,0
B4,b4_data_0018,sample_clear_fever,0.039,0
B4,b4_data_0019,sample_blur_fever,0.07,1
B4,b4_data_0020,sample_cold_pale,0.066,0
B4,b4_data_0021,sample_cold_yellow_conflict,0.069,1
B4,b4_data_0022,sample_missing_text,0.039,1
B4,b4_data_0023,sample_mouth_bitter,0.04,0
